             miu           sigma               a  Gauss-Legendre Gauss-Chebyshev   Gauss-Hermite
     -1.00000000      0.50000000     -2.50000000      0.01460856      0.01703302      0.01628041
     -1.00000000      0.50000000     -1.75000000      0.14208332      0.14488280      0.14076644
     -1.00000000      0.50000000     -1.00000000      0.49766113      0.50080450      0.49416151
     -1.00000000      0.50000000     -0.25000000      0.85323895      0.85606443      0.84864305
     -1.00000000      0.50000000      0.50000000      0.98071371      0.98223965      0.97563008
     -1.00000000      5.00000000    -16.00000000      0.00000000      0.00000000      0.00000000
     -1.00000000      5.00000000     -8.50000000      0.00039812      0.00039904      0.00039085
     -1.00000000      5.00000000     -1.00000000      0.49999976      0.50394920      0.49813474
     -1.00000000      5.00000000      6.50000000      1.00001041      0.52275421      1.06847568
     -1.00000000      5.00000000     14.00000000      1.01309803      0.00007890      0.21901183
      1.00000000      0.50000000     -0.50000000      0.01460856      0.01703302      0.01628041
      1.00000000      0.50000000      0.25000000      0.14208332      0.14488280      0.14076644
      1.00000000      0.50000000      1.00000000      0.49766113      0.50080450      0.49416151
      1.00000000      0.50000000      1.75000000      0.85323895      0.85606443      0.84864305
      1.00000000      0.50000000      2.50000000      0.98071371      0.98223965      0.97563008
      1.00000000      5.00000000    -14.00000000      0.00000000      0.00000000      0.00000000
      1.00000000      5.00000000     -6.50000000      0.00039812      0.00039904      0.00039085
      1.00000000      5.00000000      1.00000000      0.49999976      0.50394920      0.49813474
      1.00000000      5.00000000      8.50000000      1.00001041      0.52275421      1.06847568
      1.00000000      5.00000000     16.00000000      1.01309803      0.00007890      0.21901183
